Starting 200-game Draughts ablation tournament (Zone-Guided MCVS vs standard UCT)
Game 159/200 | UCT        (moves=100) | MCVS wins:  40 | Draws:  15 | Zone DB size: 4,069 | ETA: 86.8 min
Game 160/200 | UCT        (moves= 53) | MCVS wins:  40 | Draws:  15 | Zone DB size: 4,088 | ETA: 84.5 min
Game 161/200 | UCT        (moves= 42) | MCVS wins:  40 | Draws:  15 | Zone DB size: 4,103 | ETA: 82.1 min
Game 162/200 | MCVS       (moves=106) | MCVS wins:  41 | Draws:  15 | Zone DB size: 4,139 | ETA: 80.2 min
Game 163/200 | MCVS       (moves= 49) | MCVS wins:  42 | Draws:  15 | Zone DB size: 4,148 | ETA: 77.9 min
Game 164/200 | UCT        (moves= 51) | MCVS wins:  42 | Draws:  15 | Zone DB size: 4,167 | ETA: 75.6 min
Game 165/200 | MCVS       (moves=131) | MCVS wins:  43 | Draws:  15 | Zone DB size: 4,217 | ETA: 73.8 min
Game 166/200 | MCVS       (moves= 48) | MCVS wins:  44 | Draws:  15 | Zone DB size: 4,237 | ETA: 71.5 min
Game 167/200 | UCT        (moves= 76) | MCVS wins:  44 | Draws:  15 | Zone DB size: 4,257 | ETA: 69.4 min
Game 168/200 | MCVS       (moves= 48) | MCVS wins:  45 | Draws:  15 | Zone DB size: 4,273 | ETA: 67.1 min
Game 169/200 | UCT        (moves= 58) | MCVS wins:  45 | Draws:  15 | Zone DB size: 4,284 | ETA: 64.9 min
Game 170/200 | MCVS       (moves=150) | MCVS wins:  46 | Draws:  15 | Zone DB size: 4,337 | ETA: 63.2 min
Game 171/200 | MCVS       (moves= 87) | MCVS wins:  47 | Draws:  15 | Zone DB size: 4,364 | ETA: 61.1 min
Game 172/200 | MCVS       (moves= 86) | MCVS wins:  48 | Draws:  15 | Zone DB size: 4,393 | ETA: 59.0 min
Game 173/200 | MCVS       (moves= 85) | MCVS wins:  49 | Draws:  15 | Zone DB size: 4,423 | ETA: 56.9 min
Game 174/200 | MCVS       (moves= 62) | MCVS wins:  50 | Draws:  15 | Zone DB size: 4,445 | ETA: 54.7 min
Game 175/200 | MCVS       (moves= 89) | MCVS wins:  51 | Draws:  15 | Zone DB size: 4,469 | ETA: 52.7 min
Game 176/200 | MCVS       (moves= 46) | MCVS wins:  52 | Draws:  15 | Zone DB size: 4,488 | ETA: 50.4 min
Game 177/200 | UCT        (moves= 82) | MCVS wins:  52 | Draws:  15 | Zone DB size: 4,510 | ETA: 48.3 min
